ID	Function	Source
DUF4605	DUF4605 domain-containing protein	PF15378.8
DUF4606	DUF4606 domain-containing protein	PF15379.8
DUF4609	DUF4609 domain-containing protein	PF15382.8
DUF4611	DUF4611 domain-containing protein	PF15387.8
DUF4612	DUF4612 domain-containing protein	PF15389.8
DUF4614	DUF4614 domain-containing protein	PF15391.8
DUF4615	DUF4615 domain-containing protein	PF15393.8
DUF4616	DUF4616 domain-containing protein	PF15394.8
DUF4617	DUF4617 domain-containing protein	PF15395.8
DUF4618	DUF4618 domain-containing protein	PF15397.8
DUF4619	DUF4619 domain-containing protein	PF15398.8
DUF4620	DUF4620 domain-containing protein	PF15399.8
DUF4628	DUF4628 domain-containing protein	PF15429.8
DUF4629	DUF4629 domain-containing protein	PF15442.8
DUF4630	DUF4630 domain-containing protein	PF15443.8
DUF4632	DUF4632 domain-containing protein	PF15451.8
DUF4633	DUF4633 domain-containing protein	PF15464.8
DUF4634	DUF4634 domain-containing protein	PF15465.8
DUF4635	DUF4635 domain-containing protein	PF15466.8
DUF4636	DUF4636 domain-containing protein	PF15468.8
DUF4637	DUF4637 domain-containing protein	PF15470.8
DUF4638	DUF4638 domain-containing protein	PF15472.8
DUF4639	DUF4639 domain-containing protein	PF15479.8
DUF4640	DUF4640 domain-containing protein	PF15480.8
DUF4641	DUF4641 domain-containing protein	PF15483.8
DUF4642	DUF4642 domain-containing protein	PF15484.8
DUF4643	DUF4643 domain-containing protein	PF15485.8
DUF4644	DUF4644 domain-containing protein	PF15486.8
DUF4645	DUF4645 domain-containing protein	PF15488.8
DUF4646	DUF4646 domain-containing protein	PF15496.8
DUF4647	DUF4647 domain-containing protein	PF15504.8
DUF4648	DUF4648 domain-containing protein	PF15505.8
DUF4650	DUF4650 domain-containing protein	PF15509.8
DUF4653	DUF4653 domain-containing protein	PF15546.8
DUF4655	DUF4655 domain-containing protein	PF15548.8
DUF4656	DUF4656 domain-containing protein	PF15551.8
DUF4657	DUF4657 domain-containing protein	PF15552.8
DUF4658	DUF4658 domain-containing protein	PF15555.8
DUF4659	DUF4659 domain-containing protein	PF15558.8
DUF4660	DUF4660 domain-containing protein	PF15559.8
DUF4661	DUF4661 domain-containing protein	PF15576.8
DUF4662	DUF4662 domain-containing protein	PF15578.8
DUF4663	DUF4663 domain-containing protein	PF15668.7
Ciart	circadian-associated transcriptional repressor	PF15673.7
DUF4665	DUF4665 domain-containing protein	PF15679.7
DUF4666	DUF4666 domain-containing protein	PF15697.7
DUF4667	DUF4667 domain-containing protein	PF15700.7
DUF4668	DUF4668 domain-containing protein	PF15701.7
MCCD1	mitochondrial coiled-coil domain protein 1	PF15707.7
DUF4670	DUF4670 domain-containing protein	PF15709.7
Brme1	Brme1 domain-containing protein	PF15710.7
DUF4672	DUF4672 domain-containing protein	PF15716.7
MNR	moonraker protein	PF15718.7
DUF4674	DUF4674 domain-containing protein	PF15719.7
DUF4675	DUF4675 domain-containing protein	PF15720.7
RCDG1	renal cancer differentiation gene 1 protein	PF15725.7
DUF4677	DUF4677 domain-containing protein	PF15726.7
DUF4678	DUF4678 domain-containing protein	PF15727.7
DUF4679	DUF4679 domain-containing protein	PF15728.7
DUF4680	DUF4680 domain-containing protein	PF15730.7
DUF4681	DUF4681 domain-containing protein	PF15732.7
DUF4682	DUF4682 domain-containing protein	PF15733.7
DUF4683	DUF4683 domain-containing protein	PF15735.7
DUF4684	DUF4684 domain-containing protein	PF15736.7
DUF4685	DUF4685 domain-containing protein	PF15737.7
DUF4687	DUF4687 domain-containing protein	PF15747.7
DUF4688	DUF4688 domain-containing protein	PF15752.7
DUF4689	DUF4689 domain-containing protein	PF15755.7
DUF4691	DUF4691 domain-containing protein	PF15762.7
DUF4693	DUF4693 domain-containing protein	PF15764.7
DUF4694	DUF4694 domain-containing protein	PF15765.7
DUF4695	DUF4695 domain-containing protein	PF15766.7
DUF4696	DUF4696 domain-containing protein	PF15767.7
CC190	coiled-coil domain-containing protein 190	PF15768.7
DUF4698	DUF4698 domain-containing protein	PF15769.7
DUF4699	DUF4699 domain-containing protein	PF15770.7
DUF4701	DUF4701 domain-containing protein	PF15773.7
DUF4702	DUF4702 domain-containing protein	PF15774.7
DUF4703	DUF4703 domain-containing protein	PF15775.7
DUF4704	DUF4704 domain-containing protein	PF15787.7
DUF4705	DUF4705 domain-containing protein	PF15788.7
DUF4706	DUF4706 domain-containing protein	PF15797.7
DUF4707	DUF4707 domain-containing protein	PF15806.7
DUF4708	DUF4708 domain-containing protein	PF15813.7
DUF4710	DUF4710 domain-containing protein	PF15828.7
DUF4711	DUF4711 domain-containing protein	PF15829.7
DUF4712	DUF4712 domain-containing protein	PF15830.7
DUF4713	DUF4713 domain-containing protein	PF15831.7
DUF4714	DUF4714 domain-containing protein	PF15833.7
DUF4715	DUF4715 domain-containing protein	PF15835.7
DUF4716	DUF4716 domain-containing protein	PF15837.7
LLCFC1	LLLL/CFNLAS domain-containing protein	PF15838.7
DUF4718	DUF4718 domain-containing protein	PF15842.7
DUF4719	DUF4719 domain-containing protein	PF15843.7
DUF4720	DUF4720 domain-containing protein	PF15846.7
DUF4722	DUF4722 domain-containing protein	PF15849.7
DUF4723	DUF4723 domain-containing protein	PF15851.7
DUF4724	DUF4724 domain-containing protein	PF15852.7
DUF4726	DUF4726 domain-containing protein	PF15855.7
DUF4727	DUF4727 domain-containing protein	PF15856.7
DUF4729	DUF4729 domain-containing protein	PF15866.7
DUF4730	DUF4730 domain-containing protein	PF15873.7
DUF4731	DUF4731 domain-containing protein	PF15875.7
DUF4732	DUF4732 domain-containing protein	PF15876.7
DUF4733	DUF4733 domain-containing protein	PF15878.7
DUF4734	DUF4734 domain-containing protein	PF15881.7
DUF4736	DUF4736 domain-containing protein	PF15883.7
DUF4739	DUF4739 domain-containing protein	PF15893.7
DUF4741	DUF4741 domain-containing protein	PF15897.7
DUF4744	DUF4744 domain-containing protein	PF15918.7
DUF4745	DUF4745 domain-containing protein	PF15923.7
DUF4746	DUF4746 domain-containing protein	PF15928.7
DUF4748	DUF4748 domain-containing protein	PF15932.7
DUF4749	DUF4749 domain-containing protein	PF15936.7
DUF4750	DUF4750 domain-containing protein	PF15938.7
DUF4757	DUF4757 domain-containing protein	PF15949.7
DUF4764	DUF4764 domain-containing protein	PF15961.7
DUF4766	DUF4766 domain-containing protein	PF15973.7
DUF4768	DUF4768 domain-containing protein	PF15989.7
DUF4769	DUF4769 domain-containing protein	PF15992.7
DUF4770	DUF4770 domain-containing protein	PF15994.7
DUF4771	DUF4771 domain-containing protein	PF15995.7
DUF4772	DUF4772 domain-containing protein	PF15997.7
DUF4777	DUF4777 domain-containing protein	PF16007.7
DUF4778	DUF4778 domain-containing protein	PF16008.7
DUF4779	DUF4779 domain-containing protein	PF16009.7
DUF4780	DUF4780 domain-containing protein	PF16012.7
DUF4786	DUF4786 domain-containing protein	PF16027.7
DUF4787	DUF4787 domain-containing protein	PF16029.7
DUF4788	DUF4788 domain-containing protein	PF16032.7
DUF4789	DUF4789 domain-containing protein	PF16033.7
DUF4790	DUF4790 domain-containing protein	PF16037.7
DUF4791	DUF4791 domain-containing protein	PF16039.7
DUF4792	DUF4792 domain-containing protein	PF16040.7
DUF4793	DUF4793 domain-containing protein	PF16041.7
DUF4794	DUF4794 domain-containing protein	PF16042.7
DUF4795	DUF4795 domain-containing protein	PF16043.7
DUF4796	DUF4796 domain-containing protein	PF16044.7
DUF4797	DUF4797 domain-containing protein	PF16051.7
DUF4798	DUF4798 domain-containing protein	PF16055.7
DUF4799	DUF4799 domain-containing protein	PF16056.7
DUF4800	DUF4800 domain-containing protein	PF16057.7
DUF4801	DUF4801 domain-containing protein	PF16059.7
DUF4802	DUF4802 domain-containing protein	PF16060.7
DUF4803	DUF4803 domain-containing protein	PF16061.7
DUF4805	DUF4805 domain-containing protein	PF16063.7
DUF4806	DUF4806 domain-containing protein	PF16064.7
DUF4808	DUF4808 domain-containing protein	PF16066.7
DUF4812	DUF4812 domain-containing protein	PF16071.7
DUF4813	DUF4813 domain-containing protein	PF16072.7
DUF4816	DUF4816 domain-containing protein	PF16086.7
DUF4818	DUF4818 domain-containing protein	PF16089.7
DUF4819	DUF4819 domain-containing protein	PF16090.7
DUF4820	DUF4820 domain-containing protein	PF16091.7
DUF4821	DUF4821 domain-containing protein	PF16092.7
DUF4927	DUF4927 domain-containing protein	PF16279.7
DUF5021	DUF5021 domain-containing protein	PF16424.7
DUF5023	DUF5023 domain-containing protein	PF16426.7
DUF5089	DUF5089 domain-containing protein	PF17002.7
DUF5087	DUF5087 domain-containing protein	PF17006.7
DUF5088	DUF5088 domain-containing protein	PF17008.7
DUF5090	DUF5090 domain-containing protein	PF17009.7
DUF5092	DUF5092 domain-containing protein	PF17010.7
DUF5093	DUF5093 domain-containing protein	PF17011.7
DUF5091	DUF5091 domain-containing protein	PF17012.7
DUF5094	DUF5094 domain-containing protein	PF17015.7
DUF5095	DUF5095 domain-containing protein	PF17016.7
DUF5097	DUF5097 domain-containing protein	PF17020.7
DUF5098	DUF5098 domain-containing protein	PF17023.7
DUF5099	DUF5099 domain-containing protein	PF17025.7
DUF5100	DUF5100 domain-containing protein	PF17029.7
DUF5101	DUF5101 domain-containing protein	PF17031.7
DUF5102	DUF5102 domain-containing protein	PF17104.7
ANT_3pp_AadA3	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA3	
vanT-L-cat	serine racemase VanT-L catalytic subunit	
AAC_6p_A49	aminoglycoside 6'-N-acetyltransferase AacA49	
AAC_6p_A10	AAC(6')-I family aminoglycoside 6'-N-acetyltransferase	
AAC_6p_Id	aminoglycoside N-acetyltransferase AAC(6')-Id	
paceosortase	pacearchaeosortase	
PACE-CTERM-PROT	putative S-layer protein	
toxin_EAST1	heat-stable enterotoxin EAST1	
polymyxin_MCR6	MCR-6 family phosphoethanolamine--lipid A transferase	
pheromone_ipd	peptide pheromone inhibitor Ipd	
blaCAM	CAM family subclass B1 metallo-beta-lactamase	
Cas12d	type V CRISPR-associated protein Cas12d	
D_CNTX	delta-ctenitoxin	PF17492.4
DUF5466	DUF5466 domain-containing protein	PF17554.4
SH3_10	SH3 domain-containing protein	PF17902.3
MLVIN_C	Murine leukemia virus (MLV) integrase (IN) C-terminal domain	PF18697.3
O_Spanin_T7	Rz1-like spanin outer membrane subunit	PF17531.4
TatB_1	twin-arginine translocation system-associated protein	
LaoB_over_CadC	L-arginine responsive protein LaoB	
blaGMB	GMB family subclass B1 metallo-beta-lactamase	
blaAAK	AAK family class A beta-lactamase	
Myrrnad	MyrrNad domain-containing protein	
FosU	FosU family fosfomycin resistance glutathione transferase	
omphalotin_tail	omphalotin biosynthesis suicide methyltransferase/RiPP precursor	
crocagin_RiPP	crocagin A family RiPP precursor	
microvionin	microvionin family RiPP	
amino_Aden_PurZ	succino-amino-deoxyadenylate synthase PurZ	
phage_DpoZ_1	aminoadenine-incorporating DNA polymerase DpoZ	
phage_DpoZ_2	aminoadenine-incorporating DNA polymerase DpoZ	
DVNP	DVNP family	PF19060.2
DUF5762	Family of unknown function (DUF5762)	PF19066.2
DUF5764	Family of unknown function (DUF5764)	PF19068.2
DUF5771	Family of unknown function (DUF5771)	PF19075.2
DUF5792	Family of unknown function (DUF5792)	PF19105.2
DUF5847	Family of unknown function (DUF5847)	PF19165.2
DUF5850	Family of unknown function (DUF5850)	PF19168.2
DUF5864	Family of unknown function (DUF5864)	PF19182.2
DUF5871	Family of unknown function (DUF5871)	PF19196.2
DUF5874	Family of unknown function (DUF5874)	PF19202.2
DUF5899	Family of unknown function (DUF5899)	PF19251.1
DUF5901	Family of unknown function (DUF5901)	PF19254.1
DUF5757	Family of unknown function (DUF5757)	PF19061.2
DUF5760	Family of unknown function (DUF5760)	PF19064.2
DUF5761	Family of unknown function (DUF5761)	PF19065.2
DUF5767	Family of unknown function (DUF5767)	PF19071.2
DUF5832	Family of unknown function (DUF5832)	PF19150.2
DUF5863	Family of unknown function (DUF5863)	PF19181.2
DUF5884	Family of unknown function (DUF5884)	PF19231.1
DUF5772	Family of unknown function (DUF5772)	PF19080.2
CoV_NSP15_C	Coronavirus replicase NSP15, uridylate-specific endoribonuclease	PF19215.2
DUF5754	Family of unknown function (DUF5754)	PF19058.2
DUF5759	Family of unknown function (DUF5759)	PF19063.2
DUF5824	Family of unknown function (DUF5824)	PF19141.2
DUF5868	Family of unknown function (DUF5868)	PF19186.2
CoV_NSP2_N	Coronavirus replicase NSP2, N-terminal	PF19211.2
16S_A1408_NpmB	16S rRNA (adenine(1408)-N(1))-methyltransferase NpmB	
glucon_galact_dh	bifunctional D-gluconate/D-galactonate dehydratase	
leader_RepB_LM	IncL/M-type plasmid replication leader peptide RepB	
FtrB_double_U	FtrB family double-selenoprotein	
CheX_Thtogales	CheY-P phosphatase CheX	
CxxS_UxF_star	UXX-star (seleno)protein family 2	
Trx_VPGUxxT_one	VPGUxxT family thioredoxin-like (seleno)protein, type 1	
dihyfolred_HdrA_Halo	dihydrofolate reductase HdrA	
flexitail	flexitail domain-containing putative surface protein	
ArsM_DUF2284_UU	arsenite methyltransferase/DUF2284 domain selenoprotein	
ArsM_AhpD_UU	arsenite methyltransferase/AhpD domain selenoprotein	
NaLiK_antip_UmpA	Na,Li,K/H(+) antiporter subunit UmpA	
trifunc_aldol	KHG/KDPG aldolase/sugar kinase fusion protein	
Hemerythrin	hemerythrin family non-heme iron protein	TIGR00058
DPH2	diphthamide biosynthesis protein 2	TIGR00272
APS_reduc	5'-adenylylsulfate reductase, thioredoxin-independent	TIGR00424
pheS_mito	phenylalanine--tRNA ligase	TIGR00469
crvDNA_42K	DNA-binding protein, 42 kDa	TIGR00495
ccl1	cyclin ccl1	TIGR00569
cdk7	CDK-activating kinase assembly factor MAT1	TIGR00570
ku70	ATP-dependent DNA helicase II, 70 kDa subunit (ku70)	TIGR00578
mre11	DNA repair protein (mre11)	TIGR00583
mug	mismatch-specific thymine-DNA glycosylate (mug)	TIGR00584
rad1	DNA repair protein (rad1)	TIGR00596
rad10	DNA repair protein rad10	TIGR00597
rad14	DNA repair protein	TIGR00598
rad18	DNA repair protein rad18	TIGR00599
rad2	DNA excision repair protein (rad2)	TIGR00600
rad23	UV excision repair protein Rad23	TIGR00601
rad24	checkpoint protein rad24	TIGR00602
rad4	XPC/Rad4 family nucleotide excision DNA repair protein	TIGR00605
rad50	rad50	TIGR00606
rad52	recombination protein rad52	TIGR00607
rpa1	replication factor-a protein 1 (rpa1)	TIGR00617
ssl1	TFIIH complex SSL1-like subunit	TIGR00622
tfb2	transcription factor Tfb2	TIGR00625
tfb4	transcription factor tfb4	TIGR00627
GABAtrns_euk	4-aminobutyrate--2-oxoglutarate transaminase	TIGR00699
ISP4_OPT	small oligopeptide transporter, OPT family	TIGR00727
mtc	tricarboxylate carrier	TIGR00798
mtp	Golgi 4-transmembrane spanning transporter	TIGR00799
nst	UDP-galactose transporter	TIGR00803
oat	OAT family organic anion transporter	TIGR00805
rfc	reduced folate carrier	TIGR00806
sit	silicon transporter	TIGR00811
zip	ZIP zinc/iron transport family	TIGR00820
ae	anion exchange protein	TIGR00834
b_cpa1	sodium/hydrogen exchanger 3	TIGR00840
c_cpa1	sodium/hydrogen antiporter	TIGR00844
caca	sodium/calcium exchanger 1	TIGR00845
ENaC	sodium channel transporter	TIGR00859
O-ClC	intracellular chloride channel protein	TIGR00862
P2X	cation transporter protein	TIGR00863
PCC	polycystin cation channel protein	TIGR00864
bcl-2	apoptosis regulator	TIGR00865
deg-1	degenerin	TIGR00867
hCaCC	calcium-activated chloride channel protein 1	TIGR00868
sec62	protein translocase, Sec62 family	TIGR00869
trp	transient-receptor-potential calcium channel protein	TIGR00870
2A0109	phosphate:H+ symporter	TIGR00887
2A0113	monocarboxylate transporter	TIGR00892
2A0114euk	Na(+)-dependent inorganic phosphate cotransporter	TIGR00894
2A0119	cation transport protein	TIGR00898
2A0303	cationic amino acid transport permease	TIGR00906
2A0304	amino acid permease	TIGR00907
2A0308	L-type amino acid transporter	TIGR00911
2A060601	Niemann-Pick C type protein family	TIGR00917
2A060602	transmembrane receptor Patched	TIGR00918
2A060605	hydroxymethylglutaryl-CoA reductase (NADPH)	TIGR00920
2A1704	oligopeptide:H+ symporter	TIGR00926
2A1904	K+-dependent Na+/Ca+ exchanger	TIGR00927
2a30	K-Cl cotransporter	TIGR00930
2a38euk	TRK family potassium/sodium uptake transporter	TIGR00934
2a57	nucleoside Transporter	TIGR00939
2A43	lysosomal Cystine Transporter	TIGR00951
3a01203	peroxysomal long chain fatty acyl transporter	TIGR00954
3a01204	pigment precursor permease	TIGR00955
3a01205	pleiotropic drug resistance family protein	TIGR00956
MRP_assoc_pro	multi drug resistance-associated protein (MRP)	TIGR00957
3a01208	antigen peptide transporter 2	TIGR00958
3a0801so1tim17	mitochondrial import inner membrane translocase subunit tim17	TIGR00980
3a0801s02tim23	mitochondrial import inner membrane translocase subunit	TIGR00983
3a0801s03tim44	mitochondrial import inner membrane, translocase subunit	TIGR00984
3a0801s04tom	mitochondrial import receptor subunit	TIGR00985
3a0801s05tom22	mitochondrial import receptor subunit	TIGR00986
3a0801s07tom40	mitochondrial import receptor subunit	TIGR00989
3a0801s09	mitochondrial precursor proteins import receptor	TIGR00990
3a0901s02IAP34	GTP-binding protein	TIGR00991
3a0901s04IAP86	chloroplast protein import component Toc86/159, G and M domains	TIGR00993
3a0901s05TIC20	Tic20 family chloroplast protein importer	TIGR00994
V-ATPase_V1_B	V-type ATPase subunit B	TIGR01040
P5CS	delta l-pyrroline-5-carboxylate synthetase	TIGR01092
ATPase-IIC_X-K	Na,H/K antiporter P-type ATPase subunit alpha	TIGR01106
Na_K_ATPase_bet	sodium/potassium-exchanging ATPase subunit beta	TIGR01107
ER_PDI_fam	protein disulfide-isomerase	TIGR01130
DRP1	density-regulated protein DRP1	TIGR01159
rplA_mito	ribosomal protein uL1, mitochondrial	TIGR01170
Pmev_kin_ERG8	phosphomevalonate kinase	TIGR01219
Pmev_kin_anim	phosphomevalonate kinase	TIGR01223
rim_protein	rim ABC transporter	TIGR01257
tyr_amTase_E	tyrosine transaminase	TIGR01264
Phe4hydrox_tetr	phenylalanine 4-monooxygenase	TIGR01268
Tyr_3_monoox	tyrosine 3-monooxygenase	TIGR01269
Trp_5_monoox	tryptophan 5-monooxygenase	TIGR01270
CFTR_protein	cystic fibrosis transmembrane conductor regulator (CFTR)	TIGR01271
P_lamban	phospholamban	TIGR01294
synapt_SV2	synaptic vesicle protein SV2	TIGR01299
GPH_sucrose	sucrose/proton symporter	TIGR01301
UMP_CMP_kin_fam	UMP-CMP kinase family	TIGR01359
aden_kin_iso1	adenylate kinase	TIGR01360
E1_like_apg7	E1-like protein-activating enzyme Gsa7p/Apg7p	TIGR01381
TFSII	transcription elongation factor S-II	TIGR01385
