L1	KO	Function	EC
Function unknown	VOG00320	REFSEQ hypothetical protein	
Function unknown	VOG00321	REFSEQ outer membrane protein	
Virus protein with function beneficial for the host | Virus structure	VOG00322	sp|P51772|BPX_BPP2 Baseplate protein X	
Function unknown	VOG00323	REFSEQ hypothetical protein	
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus | Virus structure	VOG00324	sp|P31340|SPIKE_BPP2 Spike protein	
Function unknown	VOG00325	sp|Q05292|VG77_BPML5 Gene 77 protein	
Function unknown	VOG00326	REFSEQ hypothetical protein	
Virus structure	VOG00327	sp|P20324|SCAF_BPT3 Capsid assembly scaffolding protein	
Function unknown	VOG00328	sp|P59193|YFDT_SHIFL Uncharacterized protein YfdT	
Virus protein with function beneficial for the virus | Virus structure	VOG00329	sp|Q6XQB2|FIBER_BPT1 Probable tail fiber protein	
Function unknown	VOG00330	REFSEQ tail assembly chaperone	
Virus protein with function beneficial for the host | Virus replication	VOG00331	sp|P10310|TERL_BPT3 Terminase, large subunit	
Function unknown	VOG00332	sp|Q8QL42|Y207_SIRV1 Uncharacterized protein 207	
Virus protein with function beneficial for the host	VOG00333	sp|Q8ZNY9|PRP1_SALTY Serine/threonine-protein phosphatase 1	
Function unknown	VOG00334	REFSEQ DnaA protein	
Function unknown	VOG00335	REFSEQ tail terminator	
Function unknown	VOG00336	REFSEQ baseplate hub assembly catalyst	
Function unknown	VOG00337	REFSEQ hypothetical protein	
Function unknown	VOG00338	REFSEQ DUF1642 domain-containing protein	
Function unknown	VOG00339	REFSEQ hypothetical protein	
Function unknown	VOG00340	sp|Q5UNY3|YL729_MIMIV Uncharacterized protein L729	
Function unknown	VOG00341	REFSEQ hypothetical protein	
Function unknown	VOG00342	REFSEQ hypothetical protein	
Function unknown	VOG00343	REFSEQ hypothetical protein	
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus | Virus replication | Virus structure	VOG00344	sp|Q6QGD5|PORTL_BPT5 Portal protein	
Virus protein with function beneficial for the host | Virus replication	VOG00345	sp|Q38087|DPOL_BPR69 DNA-directed DNA polymerase	
Virus protein with function beneficial for the host	VOG00346	sp|P04382|DYR_BPT4 Dihydrofolate reductase	
Function unknown	VOG00347	REFSEQ hypothetical protein	
Function unknown	VOG00348	REFSEQ hypothetical protein	
Virus protein with function beneficial for the host | Virus replication	VOG00349	sp|O57044|RDRP_HV19S Probable RNA-directed RNA polymerase	
Function unknown	VOG00350	REFSEQ ORF14	
Virus protein with function beneficial for the host | Virus structure	VOG00351	sp|P0DOL5|PG072_VAR67 Probable FAD-linked sulfhydryl oxidase OPG072	
Virus protein with function beneficial for the host	VOG00352	sp|Q9C5U0|AHK4_ARATH Histidine kinase 4	
Virus protein with function beneficial for the host | Virus replication | Virus structure	VOG00353	sp|P0CJ94|MVP_BCMNN P3N-PIPO polyprotein	
Function unknown	VOG00354	sp|O10373|Y145_NPVOP Uncharacterized 11.0 kDa protein	
Virus structure	VOG00355	sp|Q89250|CPRT_SBWMN 84 kDa readthrough protein	
Virus protein with function beneficial for the host	VOG00356	sp|P32231|VC01_SWPVK Putative Ig-like domain-containing protein C1	
Virus protein with function beneficial for the host	VOG00357	sp|Q6GZV6|019R_FRG3G Putative serine/threonine-protein kinase 019R	
Function unknown	VOG00358	REFSEQ hypothetical protein	
Virus protein with function beneficial for the host | Virus replication	VOG00359	sp|P30876|RPB2_HUMAN DNA-directed RNA polymerase II subunit RPB2	
Function unknown	VOG00360	REFSEQ hypothetical protein	
Virus protein with function beneficial for the virus | Virus structure	VOG00361	sp|O56129|CAPSD_PCV2 Capsid protein	
Function unknown	VOG00362	sp|Q5UPC8|YL054_MIMIV Uncharacterized protein L54	
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus | Virus structure	VOG00363	sp|P04011|VP2_POVLY Minor capsid protein VP2	
Function unknown	VOG00364	REFSEQ hypothetical protein	
Function unknown	VOG00365	REFSEQ hypothetical protein	
Function unknown	VOG00366	REFSEQ hypothetical protein	
Function unknown	VOG00367	REFSEQ tail protein	
Function unknown	VOG00368	sp|P45915|YQAS_BACSU Uncharacterized protein YqaS	
Function unknown	VOG00369	REFSEQ HTH DNA binding protein	
Virus replication	VOG00370	sp|Q5UQK9|RFCL_MIMIV Putative replication factor C large subunit	
Virus protein with function beneficial for the host | Virus replication	VOG00371	sp|P03707|TERS_LAMBD Terminase small subunit	
Function unknown	VOG00372	REFSEQ hypothetical protein	
Function unknown	VOG00373	REFSEQ hypothetical protein	
Virus protein with function beneficial for the host | Virus structure	VOG00374	sp|Q5UNS9|COLL7_MIMIV Collagen-like protein 7	
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus	VOG00375	sp|P06855|KIPN_BPT4 Polynucleotide kinase	
Virus replication	VOG00376	sp|P16942|T629_SHISO Transposase for insertion sequence element IS629	
Virus structure	VOG00377	sp|P85503|STRU3_BPPAJ Structural protein 3	
Function unknown	VOG00378	REFSEQ transcriptional repressor	
Function unknown	VOG00379	REFSEQ transcriptional repressor	
Virus protein with function beneficial for the host	VOG00380	sp|Q4JBY3|QUEC_SULAC 7-cyano-7-deazaguanine synthase	
Virus protein with function beneficial for the virus	VOG00381	sp|P00641|ENDO_BPT7 Endonuclease I	
Virus protein with function beneficial for the host	VOG00382	sp|Q38162|LLP_BPT5 Lytic conversion lipoprotein	
Function unknown	VOG00383	REFSEQ virion structural protein	
Function unknown	VOG00384	REFSEQ hypothetical protein	
Function unknown	VOG00385	sp|Q9J5H2|V029_FOWPN Putative peptidyl-tRNA hydrolase	
Function unknown	VOG00386	REFSEQ hypothetical protein	
Function unknown	VOG00387	REFSEQ tail terminator	
Function unknown	VOG00388	REFSEQ hypothetical protein	
Function unknown	VOG00389	REFSEQ hypothetical protein	
Virus protein with function beneficial for the host	VOG00390	sp|P28903|NRDD_ECOLI Anaerobic ribonucleoside-triphosphate reductase	
Function unknown	VOG00391	REFSEQ hypothetical protein	
Function unknown	VOG00392	REFSEQ minor coat protein	
Function unknown	VOG00393	REFSEQ hypothetical protein	
Function unknown	VOG00394	sp|P15234|YLF1_BPN4 Uncharacterized protein Gp1	
Function unknown	VOG00395	REFSEQ head scaffolding protein	
Virus protein with function beneficial for the host	VOG00396	sp|P07719|V17_BPT3 Gene 1.7 protein	
Function unknown	VOG00397	REFSEQ hypothetical protein	
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus | Virus structure	VOG00398	sp|Q04830|FIBER_BPK1F Tail spike protein	
Virus protein with function beneficial for the host	VOG00399	sp|A0MSJ1|CRA1B_DANRE Collagen alpha-1(XXVII) chain B	
Function unknown	VOG00400	sp|P45911|YQAN_BACSU Uncharacterized protein YqaN	
Virus protein with function beneficial for the host	VOG00401	sp|O59413|DEGLY_PYRHO Deglycase PH1704	
Virus protein with function beneficial for the host | Virus structure	VOG00402	sp|P07613|PG096_VACCW Protein OPG096	
Function unknown	VOG00403	REFSEQ hypothetical protein	
Function unknown	VOG00404	sp|P39416|Y00F_BPT4 Uncharacterized 19.7 kDa protein in motB-dexA intergenic region	
Function unknown	VOG00405	REFSEQ minor head protein	
Function unknown	VOG00406	REFSEQ neck passage structure	
Function unknown	VOG00407	REFSEQ hypothetical protein	
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus	VOG00408	sp|Q37975|HOLIN_BPA18 Putative antiholin	
Virus protein with function beneficial for the host | Virus replication	VOG00409	sp|Q9F417|RECA_MYCCI Protein RecA (Fragment)	
Function unknown	VOG00410	REFSEQ hypothetical protein	
Virus protein with function beneficial for the virus | Virus structure	VOG00411	sp|Q38394|FIB37_BPK3 Long tail fiber protein p37	
Virus protein with function beneficial for the host | Virus structure	VOG00412	sp|Q6QGD9|HCP_BPT5 Head completion protein	
Virus protein with function beneficial for the virus	VOG00413	sp|P04521|EXO1_BPT4 Exonuclease subunit 1	
Function unknown	VOG00414	REFSEQ hypothetical protein	
Function unknown	VOG00415	REFSEQ hypothetical protein	
Virus replication	VOG00416	sp|P00471|TYSY_BPT4 Thymidylate synthase	
Function unknown	VOG00417	REFSEQ tail fiber protein	
Function unknown	VOG00418	sp|P59935|53DR_BPKV4 Putative 5'(3')-deoxyribonucleotidase	
Function unknown	VOG00419	sp|Q05225|VG19_BPML5 Gene 19 protein	
Function unknown	VOG00420	REFSEQ hypothetical protein	
Function unknown	VOG00421	REFSEQ hypothetical protein	
Function unknown	VOG00422	REFSEQ hypothetical protein	
Function unknown	VOG00423	REFSEQ replication initiation protein	
Function unknown	VOG00424	REFSEQ tail fiber protein	
Function unknown	VOG00425	REFSEQ hypothetical protein	
Function unknown	VOG00426	sp|O64268|VG87_BPMD2 Gene 87 protein	
Function unknown	VOG00427	REFSEQ hypothetical protein	
Virus protein with function beneficial for the host | Virus replication	VOG00428	sp|B6YUE9|CDC6_THEON ORC1-type DNA replication protein	
Function unknown	VOG00429	REFSEQ ead/Ea22-like family protein	
Function unknown	VOG00430	sp|P13318|Y06K_BPT4 Uncharacterized 25.0 kDa protein in regB-denV intergenic region	
Function unknown	VOG00431	REFSEQ DNA polymerase/primase	
Function unknown	VOG00432	REFSEQ hypothetical protein	
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus	VOG00433	sp|P39504|SPAN1_BPT4 Spanin, inner membrane subunit	
Function unknown	VOG00434	REFSEQ lytic tail protein	
Function unknown	VOG00435	sp|P07080|Y04D_BPT4 Uncharacterized 5.1 kDa protein in Gp55-nrdG intergenic region	
Virus protein with function beneficial for the host	VOG00436	sp|Q5UQD2|PNKP_MIMIV Putative bifunctional polynucleotide phosphatase/kinase	
Function unknown	VOG00437	REFSEQ hypothetical protein	
Virus replication	VOG00438	sp|P03693|TERS_BPT7 Terminase, small subunit gp18	
Function unknown	VOG00439	REFSEQ hypothetical protein	
Function unknown	VOG00440	REFSEQ hypothetical protein	
Function unknown	VOG00441	sp|P32271|Y06L_BPT4 Uncharacterized 17.7 kDa protein in e-segB intergenic region	
Function unknown	VOG00442	REFSEQ hypothetical protein	
Function unknown	VOG00443	REFSEQ hypothetical protein	
Function unknown	VOG00444	REFSEQ hypothetical protein	
Virus protein with function beneficial for the host | Virus structure	VOG00445	sp|Q38424|ALT_BPT2 NAD(+)--arginine ADP-ribosyltransferase	
Function unknown	VOG00446	REFSEQ hypothetical protein	
Virus structure	VOG00447	sp|O48448|COMPL_BPSPP Tail completion protein gp17	
Function unknown	VOG00448	sp|O34449|YOQD_BACSU SPbeta prophage-derived putative antirepressor protein YoqD	
Virus structure	VOG00449	sp|P11110|NECK1_BPT4 Neck protein gp13	
Function unknown	VOG00450	REFSEQ hypothetical protein	
Function unknown	VOG00451	REFSEQ hypothetical protein	
Virus protein with function beneficial for the host | Virus structure	VOG00452	sp|P04535|CAPSH_BPT4 Major capsid protein	
Function unknown	VOG00453	REFSEQ tail fiber protein	
Function unknown	VOG00454	REFSEQ hypothetical protein	
Function unknown	VOG00455	REFSEQ hypothetical protein	
Virus protein with function beneficial for the host | Virus structure	VOG00456	sp|O64325|COMPL_BPN15 Tail completion protein	
Function unknown	VOG00457	REFSEQ hypothetical protein	
Virus protein with function beneficial for the host	VOG00458	sp|Q5UPT0|LONH_MIMIV Lon protease homolog	
Virus protein with function beneficial for the host	VOG00459	sp|P32277|RLIG2_BPT4 RNA ligase 2	
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus | Virus replication | Virus structure	VOG00460	sp|P08545|POLG_TMEVG Genome polyprotein	
Virus structure	VOG00461	sp|Q5UQ83|YR526_MIMIV Putative alpha/beta hydrolase R526	
Function unknown	VOG00462	sp|Q27YG8|YORF3_NORAV Uncharacterized ORF3 protein	
Function unknown	VOG00463	sp|O57167|C10_VACCA Protein C10	
Function unknown	VOG00464	REFSEQ hypothetical protein	
Virus protein with function beneficial for the host	VOG00465	sp|P0AGC9|QACE_ECOLX Quaternary ammonium compound-resistance protein QacE	
Function unknown	VOG00466	sp|Q5UQZ0|YR895_MIMIV Uncharacterized protein R895	
Function unknown	VOG00467	sp|Q03209|P78_NPVAC Protein P78/83	
Virus replication	VOG00468	sp|P09504|P0_TYYVF Suppressor of silencing P0	
Virus protein with function beneficial for the host | Virus replication | Virus structure	VOG00469	sp|P89876|POLG_LMVE Genome polyprotein	
Function unknown	VOG00470	sp|Q5UPJ3|YL116_MIMIV Uncharacterized protein L116	
Function unknown	VOG00471	REFSEQ hypothetical protein	
Virus protein with function beneficial for the virus	VOG00472	sp|F5HF68|VIRF1_HHV8P VIRF-1	
Function unknown	VOG00473	sp|P41729|Y098_GVCL Uncharacterized 41.0 kDa protein in P143-LEF5 intergenic region	
Function unknown	VOG00474	REFSEQ hypothetical protein	
Function unknown	VOG00475	REFSEQ hypothetical protein	
Virus protein with function beneficial for the host	VOG00476	sp|P68636|CRMB_CAMPM Soluble TNF receptor II	
Function unknown	VOG00477	sp|Q1KZ54|P24_CILVC Uncharacterized protein p24	
Virus structure	VOG00478	sp|P0C778|MP2_CARMS Double gene block protein 2	
Function unknown	VOG00479	REFSEQ hypothetical protein	
Function unknown	VOG00480	REFSEQ hypothetical protein	
Function unknown	VOG00481	sp|Q5UQ61|YR661_MIMIV Uncharacterized protein R661	
Function unknown	VOG00482	REFSEQ hypothetical protein	
Function unknown	VOG00483	REFSEQ PH domain-containing protein	
Function unknown	VOG00484	REFSEQ Arc-like repressor	
Function unknown	VOG00485	sp|Q38441|YOR5_BPSPP Uncharacterized 10.3 kDa protein in GP2-GP6 intergenic region	
Function unknown	VOG00486	sp|Q1I0U1|VP11_MPRVN Uncharacterized protein VP11	
Function unknown	VOG00487	REFSEQ HNH endonuclease	
Function unknown	VOG00488	REFSEQ tail fiber protein	
Virus protein with function beneficial for the host	VOG00489	sp|Q06717|GSTG_BPT2 Beta-glucosyl-HMC-alpha-glucosyl-transferase	
Function unknown	VOG00490	REFSEQ hypothetical protein	
Function unknown	VOG00491	sp|Q5UPT6|YL245_MIMIV Uncharacterized HNH endonuclease L245	
Function unknown	VOG00492	REFSEQ hypothetical protein	
Virus protein with function beneficial for the host | Virus replication	VOG00493	sp|P03690|VR2A_BPT4 Protein rIIA	
Virus protein with function beneficial for the virus | Virus structure	VOG00494	sp|P07067|FIB37_BPT2 Long tail fiber protein p37	
Function unknown	VOG00495	sp|P19895|SEGD_BPT4 Putative endonuclease segD	
Function unknown	VOG00496	REFSEQ minor tail protein	
Virus protein with function beneficial for the host | Virus replication	VOG00497	sp|P09506|P1_TYYVF Protein P1	
Virus protein with function beneficial for the host	VOG00498	sp|Q07943|VDP_BOMMO Vitellin-degrading protease	
Function unknown	VOG00499	REFSEQ tail fiber assembly protein	
Function unknown	VOG00500	REFSEQ tail protein	
Function unknown	VOG00501	REFSEQ hypothetical protein	
Function unknown	VOG00502	REFSEQ hypothetical protein	
Function unknown	VOG00503	REFSEQ hypothetical protein	
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus | Virus replication | Virus structure	VOG00504	sp|O64332|TIPL_BPN15 Tail tip protein L	
Function unknown	VOG00505	REFSEQ hypothetical protein	
Function unknown	VOG00506	REFSEQ minor tail protein	
Function unknown	VOG00507	REFSEQ hypothetical protein	
Function unknown	VOG00508	sp|P76162|YDFU_ECOLI Uncharacterized protein YdfU	
Function unknown	VOG00509	REFSEQ hypothetical protein	
Function unknown	VOG00510	sp|O64262|VG69_BPMD2 Gene 69 protein	
Function unknown	VOG00511	REFSEQ hypothetical protein	
Function unknown	VOG00512	REFSEQ tail protein	
Function unknown	VOG00513	REFSEQ hypothetical protein	
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus | Virus structure	VOG00514	sp|P26700|FIBH_BPP2 Probable tail fiber protein	
Virus replication | Virus structure	VOG00515	sp|O64219|TAP25_BPMD2 Tail assembly protein Gp25	
Virus protein with function beneficial for the virus | Virus replication | Virus structure	VOG00516	sp|P03728|PORTL_BPT7 Portal protein	
Virus protein with function beneficial for the host | Virus replication	VOG00517	sp|A9M916|CCRM_BRUC2 DNA methyltransferase CcrM	
Function unknown	VOG00518	sp|P15032|RECE_ECOLI Exodeoxyribonuclease 8	
Function unknown	VOG00519	REFSEQ hypothetical protein	
Virus protein with function beneficial for the host | Virus replication	VOG00520	sp|Q9L7L6|DPO3B_MYCPA Beta sliding clamp	
Virus protein with function beneficial for the host | Virus structure	VOG00521	sp|P51767|BPJ_BPP2 Baseplate protein J	
