L1	ID	Function	EC
unknown function	phrog_31480	NA	
unknown function	phrog_31481	NA	
unknown function	phrog_31482	NA	
unknown function	phrog_31483	NA	
unknown function	phrog_31484	NA	
unknown function	phrog_31485	NA	
unknown function	phrog_31486	NA	
unknown function	phrog_31487	NA	
unknown function	phrog_31488	NA	
head and packaging	phrog_31489	head maturation protease	
unknown function	phrog_31490	NA	
unknown function	phrog_31491	NA	
unknown function	phrog_31492	NA	
unknown function	phrog_31493	NA	
unknown function	phrog_31494	NA	
unknown function	phrog_31495	NA	
transcription regulation	phrog_31496	transcriptional regulator	
unknown function	phrog_31497	NA	
unknown function	phrog_31498	NA	
unknown function	phrog_31499	NA	
unknown function	phrog_31500	NA	
unknown function	phrog_31501	NA	
unknown function	phrog_31502	NA	
unknown function	phrog_31503	NA	
unknown function	phrog_31504	NA	
unknown function	phrog_31505	NA	
unknown function	phrog_31506	NA	
unknown function	phrog_31507	NA	
unknown function	phrog_31508	NA	
unknown function	phrog_31509	NA	
unknown function	phrog_31510	NA	
unknown function	phrog_31511	NA	
unknown function	phrog_31512	NA	
unknown function	phrog_31513	NA	
unknown function	phrog_31514	NA	
unknown function	phrog_31515	NA	
unknown function	phrog_31516	NA	
unknown function	phrog_31517	NA	
unknown function	phrog_31518	NA	
unknown function	phrog_31519	NA	
unknown function	phrog_31520	NA	
unknown function	phrog_31521	NA	
unknown function	phrog_31522	NA	
unknown function	phrog_31523	NA	
unknown function	phrog_31524	NA	
unknown function	phrog_31525	NA	
unknown function	phrog_31526	NA	
unknown function	phrog_31527	NA	
unknown function	phrog_31528	NA	
unknown function	phrog_31529	NA	
unknown function	phrog_31530	NA	
unknown function	phrog_31531	NA	
unknown function	phrog_31532	NA	
unknown function	phrog_31533	NA	
unknown function	phrog_31534	NA	
unknown function	phrog_31535	NA	
unknown function	phrog_31536	NA	
unknown function	phrog_31537	NA	
unknown function	phrog_31538	NA	
unknown function	phrog_31539	NA	
unknown function	phrog_31540	NA	
unknown function	phrog_31541	NA	
unknown function	phrog_31542	NA	
unknown function	phrog_31543	NA	
unknown function	phrog_31544	NA	
unknown function	phrog_31545	NA	
unknown function	phrog_31546	NA	
unknown function	phrog_31547	NA	
unknown function	phrog_31548	NA	
unknown function	phrog_31549	NA	
unknown function	phrog_31550	NA	
unknown function	phrog_31551	NA	
unknown function	phrog_31552	NA	
unknown function	phrog_31553	NA	
unknown function	phrog_31554	NA	
unknown function	phrog_31555	NA	
unknown function	phrog_31556	NA	
unknown function	phrog_31557	NA	
unknown function	phrog_31558	NA	
unknown function	phrog_31559	NA	
unknown function	phrog_31560	NA	
unknown function	phrog_31561	NA	
unknown function	phrog_31562	NA	
unknown function	phrog_31563	NA	
unknown function	phrog_31564	NA	
unknown function	phrog_31565	NA	
unknown function	phrog_31566	NA	
unknown function	phrog_31567	NA	
unknown function	phrog_31568	NA	
unknown function	phrog_31569	NA	
unknown function	phrog_31570	NA	
unknown function	phrog_31571	NA	
unknown function	phrog_31572	NA	
unknown function	phrog_31573	NA	
unknown function	phrog_31574	NA	
unknown function	phrog_31575	NA	
unknown function	phrog_31576	NA	
unknown function	phrog_31577	NA	
unknown function	phrog_31578	NA	
unknown function	phrog_31579	NA	
unknown function	phrog_31580	NA	
unknown function	phrog_31581	NA	
unknown function	phrog_31582	NA	
unknown function	phrog_31583	NA	
unknown function	phrog_31584	NA	
unknown function	phrog_31585	NA	
unknown function	phrog_31586	NA	
unknown function	phrog_31587	NA	
unknown function	phrog_31588	NA	
unknown function	phrog_31589	NA	
unknown function	phrog_31590	NA	
DNA, RNA and nucleotide metabolism	phrog_31591	HTH DNA binding protein	
unknown function	phrog_31592	NA	
unknown function	phrog_31593	NA	
unknown function	phrog_31594	NA	
unknown function	phrog_31595	NA	
unknown function	phrog_31596	NA	
unknown function	phrog_31597	NA	
unknown function	phrog_31598	NA	
unknown function	phrog_31599	NA	
unknown function	phrog_31600	NA	
unknown function	phrog_31601	NA	
head and packaging	phrog_31602	virion structural protein	
head and packaging	phrog_31603	terminase	
transcription regulation	phrog_31604	transcriptional regulator WhiB-like	
unknown function	phrog_31605	NA	
unknown function	phrog_31606	NA	
unknown function	phrog_31607	NA	
unknown function	phrog_31608	NA	
unknown function	phrog_31609	NA	
unknown function	phrog_31610	NA	
tail	phrog_31611	tail collar protein	
unknown function	phrog_31612	NA	
unknown function	phrog_31613	NA	
unknown function	phrog_31614	NA	
unknown function	phrog_31615	NA	
unknown function	phrog_31616	NA	
unknown function	phrog_31617	NA	
unknown function	phrog_31618	NA	
unknown function	phrog_31619	NA	
unknown function	phrog_31620	NA	
unknown function	phrog_31621	NA	
unknown function	phrog_31622	NA	
unknown function	phrog_31623	NA	
unknown function	phrog_31624	NA	
unknown function	phrog_31625	NA	
unknown function	phrog_31626	NA	
unknown function	phrog_31627	NA	
unknown function	phrog_31628	NA	
unknown function	phrog_31629	NA	
unknown function	phrog_31630	NA	
unknown function	phrog_31631	NA	
unknown function	phrog_31632	NA	
unknown function	phrog_31633	NA	
unknown function	phrog_31634	NA	
unknown function	phrog_31635	NA	
unknown function	phrog_31636	NA	
unknown function	phrog_31637	NA	
unknown function	phrog_31638	NA	
unknown function	phrog_31639	NA	
unknown function	phrog_31640	NA	
unknown function	phrog_31641	NA	
unknown function	phrog_31642	NA	
unknown function	phrog_31643	NA	
unknown function	phrog_31644	NA	
unknown function	phrog_31645	NA	
unknown function	phrog_31646	NA	
unknown function	phrog_31647	NA	
unknown function	phrog_31648	NA	
unknown function	phrog_31649	NA	
unknown function	phrog_31650	NA	
unknown function	phrog_31651	NA	
unknown function	phrog_31652	NA	
unknown function	phrog_31653	NA	
unknown function	phrog_31654	NA	
unknown function	phrog_31655	NA	
unknown function	phrog_31656	NA	
unknown function	phrog_31657	NA	
unknown function	phrog_31658	NA	
unknown function	phrog_31659	NA	
tail	phrog_31660	tail fiber protein	
unknown function	phrog_31661	NA	
unknown function	phrog_31662	NA	
unknown function	phrog_31663	NA	
unknown function	phrog_31664	NA	
unknown function	phrog_31665	NA	
unknown function	phrog_31666	NA	
unknown function	phrog_31667	NA	
unknown function	phrog_31668	NA	
unknown function	phrog_31669	NA	
unknown function	phrog_31670	NA	
unknown function	phrog_31671	NA	
unknown function	phrog_31672	NA	
unknown function	phrog_31673	NA	
unknown function	phrog_31674	NA	
unknown function	phrog_31675	NA	
unknown function	phrog_31676	NA	
unknown function	phrog_31677	NA	
unknown function	phrog_31678	NA	
unknown function	phrog_31679	NA	
unknown function	phrog_31680	NA	
unknown function	phrog_31681	NA	
unknown function	phrog_31682	NA	
unknown function	phrog_31683	NA	
unknown function	phrog_31684	NA	
unknown function	phrog_31685	NA	
unknown function	phrog_31686	NA	
unknown function	phrog_31687	NA	
unknown function	phrog_31688	NA	
unknown function	phrog_31689	NA	
unknown function	phrog_31690	NA	
unknown function	phrog_31691	NA	
head and packaging	phrog_31692	terminase large subunit	
unknown function	phrog_31693	NA	
unknown function	phrog_31694	NA	
unknown function	phrog_31695	NA	
unknown function	phrog_31696	NA	
unknown function	phrog_31697	NA	
unknown function	phrog_31698	NA	
unknown function	phrog_31699	NA	
unknown function	phrog_31700	NA	
unknown function	phrog_31701	NA	
unknown function	phrog_31702	NA	
unknown function	phrog_31703	NA	
unknown function	phrog_31704	NA	
unknown function	phrog_31705	NA	
unknown function	phrog_31706	NA	
unknown function	phrog_31707	NA	
unknown function	phrog_31708	NA	
unknown function	phrog_31709	NA	
unknown function	phrog_31710	NA	
unknown function	phrog_31711	NA	
unknown function	phrog_31712	NA	
unknown function	phrog_31713	NA	
unknown function	phrog_31714	NA	
unknown function	phrog_31715	NA	
unknown function	phrog_31716	NA	
unknown function	phrog_31717	NA	
unknown function	phrog_31718	NA	
unknown function	phrog_31719	NA	
unknown function	phrog_31720	NA	
unknown function	phrog_31721	NA	
unknown function	phrog_31722	NA	
unknown function	phrog_31723	NA	
unknown function	phrog_31724	NA	
unknown function	phrog_31725	NA	
unknown function	phrog_31726	NA	
unknown function	phrog_31727	NA	
unknown function	phrog_31728	NA	
unknown function	phrog_31729	NA	
moron, auxiliary metabolic gene and host takeover	phrog_31730	membrane protein	
unknown function	phrog_31731	NA	
unknown function	phrog_31732	NA	
unknown function	phrog_31733	NA	
unknown function	phrog_31734	NA	
unknown function	phrog_31735	NA	
unknown function	phrog_31736	NA	
DNA, RNA and nucleotide metabolism	phrog_31737	exonuclease	
unknown function	phrog_31738	NA	
unknown function	phrog_31739	NA	
unknown function	phrog_31740	NA	
unknown function	phrog_31741	NA	
unknown function	phrog_31742	NA	
unknown function	phrog_31743	NA	
unknown function	phrog_31744	NA	
unknown function	phrog_31745	NA	
unknown function	phrog_31746	NA	
unknown function	phrog_31747	NA	
unknown function	phrog_31748	NA	
unknown function	phrog_31749	NA	
unknown function	phrog_31750	NA	
unknown function	phrog_31751	NA	
head and packaging	phrog_31752	virion structural protein	
unknown function	phrog_31753	NA	
unknown function	phrog_31754	NA	
unknown function	phrog_31755	NA	
unknown function	phrog_31756	NA	
unknown function	phrog_31757	NA	
unknown function	phrog_31758	NA	
unknown function	phrog_31759	NA	
unknown function	phrog_31760	NA	
unknown function	phrog_31761	NA	
unknown function	phrog_31762	NA	
unknown function	phrog_31763	NA	
unknown function	phrog_31764	NA	
unknown function	phrog_31765	NA	
unknown function	phrog_31766	NA	
unknown function	phrog_31767	NA	
unknown function	phrog_31768	NA	
unknown function	phrog_31769	NA	
unknown function	phrog_31770	NA	
unknown function	phrog_31771	NA	
other	phrog_31772	DNA methyltransferase	
unknown function	phrog_31773	NA	
unknown function	phrog_31774	NA	
unknown function	phrog_31775	NA	
unknown function	phrog_31776	NA	
unknown function	phrog_31777	NA	
unknown function	phrog_31778	NA	
unknown function	phrog_31779	NA	
unknown function	phrog_31780	NA	
unknown function	phrog_31781	NA	
unknown function	phrog_31782	NA	
unknown function	phrog_31783	NA	
unknown function	phrog_31784	NA	
unknown function	phrog_31785	NA	
unknown function	phrog_31786	NA	
unknown function	phrog_31787	NA	
unknown function	phrog_31788	NA	
unknown function	phrog_31789	NA	
unknown function	phrog_31790	NA	
unknown function	phrog_31791	NA	
unknown function	phrog_31792	NA	
unknown function	phrog_31793	NA	
unknown function	phrog_31794	NA	
unknown function	phrog_31795	NA	
unknown function	phrog_31796	NA	
unknown function	phrog_31797	NA	
unknown function	phrog_31798	NA	
unknown function	phrog_31799	NA	
transcription regulation	phrog_31800	transcriptional regulator	
unknown function	phrog_31801	NA	
unknown function	phrog_31802	NA	
unknown function	phrog_31803	NA	
unknown function	phrog_31804	NA	
unknown function	phrog_31805	NA	
unknown function	phrog_31806	NA	
unknown function	phrog_31807	NA	
moron, auxiliary metabolic gene and host takeover	phrog_31808	membrane protein	
unknown function	phrog_31809	NA	
unknown function	phrog_31810	NA	
unknown function	phrog_31811	NA	
unknown function	phrog_31812	NA	
unknown function	phrog_31813	NA	
other	phrog_31814	DNA methyltransferase	
transcription regulation	phrog_31815	transcriptional regulator	
unknown function	phrog_31816	NA	
unknown function	phrog_31817	NA	
unknown function	phrog_31818	NA	
unknown function	phrog_31819	NA	
unknown function	phrog_31820	NA	
unknown function	phrog_31821	NA	
unknown function	phrog_31822	NA	
unknown function	phrog_31823	NA	
unknown function	phrog_31824	NA	
unknown function	phrog_31825	NA	
head and packaging	phrog_31826	virion structural protein	
unknown function	phrog_31827	NA	
unknown function	phrog_31828	NA	
unknown function	phrog_31829	NA	
unknown function	phrog_31830	NA	
unknown function	phrog_31831	NA	
unknown function	phrog_31832	NA	
unknown function	phrog_31833	NA	
tail	phrog_31834	tail protein	
unknown function	phrog_31835	NA	
unknown function	phrog_31836	NA	
unknown function	phrog_31837	NA	
unknown function	phrog_31838	NA	
unknown function	phrog_31839	NA	
unknown function	phrog_31840	NA	
unknown function	phrog_31841	NA	
unknown function	phrog_31842	NA	
unknown function	phrog_31843	NA	
unknown function	phrog_31844	NA	
unknown function	phrog_31845	NA	
unknown function	phrog_31846	NA	
unknown function	phrog_31847	NA	
unknown function	phrog_31848	NA	
unknown function	phrog_31849	NA	
unknown function	phrog_31850	NA	
unknown function	phrog_31851	NA	
unknown function	phrog_31852	NA	
unknown function	phrog_31853	NA	
unknown function	phrog_31854	NA	
unknown function	phrog_31855	NA	
unknown function	phrog_31856	NA	
unknown function	phrog_31857	NA	
unknown function	phrog_31858	NA	
unknown function	phrog_31859	NA	
unknown function	phrog_31860	NA	
unknown function	phrog_31861	NA	
unknown function	phrog_31862	NA	
unknown function	phrog_31863	NA	
unknown function	phrog_31864	NA	
unknown function	phrog_31865	NA	
unknown function	phrog_31866	NA	
unknown function	phrog_31867	NA	
unknown function	phrog_31868	NA	
unknown function	phrog_31869	NA	
unknown function	phrog_31870	NA	
unknown function	phrog_31871	NA	
unknown function	phrog_31872	NA	
unknown function	phrog_31873	NA	
unknown function	phrog_31874	NA	
unknown function	phrog_31875	NA	
unknown function	phrog_31876	NA	
unknown function	phrog_31877	NA	
unknown function	phrog_31878	NA	
unknown function	phrog_31879	NA	
unknown function	phrog_31880	NA	
unknown function	phrog_31881	NA	
unknown function	phrog_31882	NA	
unknown function	phrog_31883	NA	
unknown function	phrog_31884	NA	
unknown function	phrog_31885	NA	
unknown function	phrog_31886	NA	
unknown function	phrog_31887	NA	
unknown function	phrog_31888	NA	
unknown function	phrog_31889	NA	
unknown function	phrog_31890	NA	
unknown function	phrog_31891	NA	
unknown function	phrog_31892	NA	
unknown function	phrog_31893	NA	
unknown function	phrog_31894	NA	
unknown function	phrog_31895	NA	
unknown function	phrog_31896	NA	
unknown function	phrog_31897	NA	
unknown function	phrog_31898	NA	
unknown function	phrog_31899	NA	
unknown function	phrog_31900	NA	
unknown function	phrog_31901	NA	
unknown function	phrog_31902	NA	
unknown function	phrog_31903	NA	
unknown function	phrog_31904	NA	
unknown function	phrog_31905	NA	
unknown function	phrog_31906	NA	
unknown function	phrog_31907	NA	
unknown function	phrog_31908	NA	
unknown function	phrog_31909	NA	
unknown function	phrog_31910	NA	
unknown function	phrog_31911	NA	
unknown function	phrog_31912	NA	
unknown function	phrog_31913	NA	
unknown function	phrog_31914	NA	
unknown function	phrog_31915	NA	
unknown function	phrog_31916	NA	
unknown function	phrog_31917	NA	
unknown function	phrog_31918	NA	
unknown function	phrog_31919	NA	
unknown function	phrog_31920	NA	
unknown function	phrog_31921	NA	
unknown function	phrog_31922	NA	
unknown function	phrog_31923	NA	
unknown function	phrog_31924	NA	
unknown function	phrog_31925	NA	
unknown function	phrog_31926	NA	
unknown function	phrog_31927	NA	
unknown function	phrog_31928	NA	
unknown function	phrog_31929	NA	
unknown function	phrog_31930	NA	
unknown function	phrog_31931	NA	
unknown function	phrog_31932	NA	
unknown function	phrog_31933	NA	
unknown function	phrog_31934	NA	
unknown function	phrog_31935	NA	
unknown function	phrog_31936	NA	
unknown function	phrog_31937	NA	
unknown function	phrog_31938	NA	
unknown function	phrog_31939	NA	
tail	phrog_31940	minor tail protein	
unknown function	phrog_31941	NA	
unknown function	phrog_31942	NA	
unknown function	phrog_31943	NA	
unknown function	phrog_31944	NA	
unknown function	phrog_31945	NA	
unknown function	phrog_31946	NA	
unknown function	phrog_31947	NA	
unknown function	phrog_31948	NA	
unknown function	phrog_31949	NA	
unknown function	phrog_31950	NA	
unknown function	phrog_31951	NA	
unknown function	phrog_31952	NA	
unknown function	phrog_31953	NA	
